http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010790.pub3/full|Blood disorders|Laser therapy for retinopathy in sickle cell disease|Kay Thi Myint, Soumendra Sahoo, Aung Win Thein, Soe Moe, Han Ni|2022-12-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011059.pub4/full|Blood disorders|Maternal and foetal outcomes following natural vaginal versus caesarean section (c‐section) delivery in women with bleeding disorders and carriers|Laxminarayan Karanth, Adinegara BL Abas|2021-12-9
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010849.pub4/full|Blood disorders|Preconception risk assessment for thalassaemia, sickle cell disease, cystic fibrosis and Tay‐Sachs disease|Norita Hussein, Lidewij Henneman, Joe Kai, Nadeem Qureshi|2021-10-11
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004447.pub3/full|Blood disorders|Recombinant growth hormone therapy for X‐linked hypophosphatemia in children|Sherie Smith, Tracey Remmington|2021-10-7
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008846.pub3/full|Blood disorders|Mass drug administration for malaria|Monica P Shah, Jimee Hwang, Leslie Choi, Kim A Lindblade, S Patrick Kachur, Meghna Desai|2021-9-29
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013092.pub2/full|Blood disorders|Nutrition‐specific interventions for preventing and controlling anaemia throughout the life cycle: an overview of systematic reviews|Katharina da Silva Lopes, Noyuri Yamaji, Md. Obaidur Rahman, Maiko Suto, Yo Takemoto, Maria Nieves Garcia-Casal, Erika Ota|2021-9-26
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009806.pub3/full|Blood disorders|Enzyme replacement therapy with galsulfase for mucopolysaccharidosis type VI|Marcela Junqueira Brunelli, Álvaro N Atallah, Edina MK da Silva|2021-9-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013365.pub2/full|Blood disorders|Chimeric antigen receptor (CAR) T‐cell therapy for people with relapsed or refractory diffuse large B‐cell lymphoma|Moritz Ernst, Annika Oeser, Burcu Besiroglu, Julia Caro-Valenzuela, Mohamed Abd El Aziz, Ina Monsef, Peter Borchmann, Lise J Estcourt, Nicole Skoetz, Marius Goldkuhle|2021-9-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011907.pub3/full|Blood disorders|Rituximab for eradicating inhibitors in people with acquired haemophilia A|Tracey Remmington, Sherie Smith|2021-8-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD014201/full|Blood disorders|Clotting factor concentrates for preventing bleeding and bleeding‐related complications in previously treated individuals with haemophilia A or B|Omotola O Olasupo, Megan S Lowe, Ashma Krishan, Peter Collins, Alfonso Iorio, Davide Matino|2021-8-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011525.pub3/full|Blood disorders|Intermittent preventive treatment for malaria in infants|Ekpereonne B Esu, Chioma Oringanje, Martin M Meremikwu|2021-7-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008708.pub5/full|Blood disorders|Hematopoietic stem cell transplantation for people with β‐thalassaemia|Akshay Sharma, Vanitha A Jagannath, Latika Puri|2021-4-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012493.pub2/full|Blood disorders|Disease‐modifying treatments for primary autoimmune haemolytic anaemia|Anthony Pak-yin Liu, Daniel KL Cheuk|2021-3-31
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003427.pub5/full|Blood disorders|Prophylactic antibiotics for preventing pneumococcal infection in children with sickle cell disease|Angela E Rankine-Mullings, Shirley Owusu-Ofori|2021-3-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004529.pub3/full|Blood disorders|Atovaquone‐proguanil for treating uncomplicated Plasmodium falciparum malaria|Andrew Blanshard, Paul Hine|2021-1-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011302.pub3/full|Blood disorders|Wheat flour fortification with iron and other micronutrients for reducing anaemia and improving iron status in populations|Martha S Field, Prasanna Mithra, Juan Pablo Peña-Rosas|2021-1-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008394.pub4/full|Blood disorders|Interventions for treating leg ulcers in people with sickle cell disease|Arturo J Martí-Carvajal, Jennifer M Knight-Madden, Maria José Martinez-Zapata|2021-1-9
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001507.pub4/full|Blood disorders|Tyrosine supplementation for phenylketonuria|Tracey Remmington, Sherie Smith|2021-1-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009568.pub2/full|Blood disorders|Paediatric formulations of artemisinin‐based combination therapies for treating uncomplicated malaria in children|Sabine Bélard, Michael Ramharter, Florian Kurth|2020-12-8
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007652.pub7/full|Blood disorders|Gene therapy for sickle cell disease|Abiola Olowoyeye, Charles I Okwundu|2020-11-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013218.pub2/full|Blood disorders|Rapid diagnostic tests for Plasmodium vivax malaria in endemic countries|Ridhi Agarwal, Leslie Choi, Samuel Johnson, Yemisi Takwoingi|2020-11-4
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004448.pub7/full|Blood disorders|Phytomedicines (medicines derived from plants) for sickle cell disease|Oluseyi Oniyangi, Damian H Cohall|2020-9-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010458.pub3/full|Blood disorders|Tafenoquine for preventing relapse in people with Plasmodium vivax malaria|Chaturaka Rodrigo, Senaka Rajapakse, Deepika Fernando|2020-9-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010810.pub4/full|Blood disorders|Rituximab for treating inhibitors in people with inherited severe hemophilia|Lucan Jiang, Yi Liu, Lingli Zhang, Cristina Santoro, Armando Rodriguez|2020-8-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012022.pub2/full|Blood disorders|Prognostic models for newly‐diagnosed chronic lymphocytic leukaemia in adults: a systematic review and meta‐analysis|Nina Kreuzberger, Johanna AAG Damen, Marialena Trivella, Lise J Estcourt, Angela Aldin, Lisa Umlauff, Maria DLA Vazquez-Montes, Robert Wolff, Karel GM Moons, Ina Monsef, Farid Foroutan, Karl-Anton Kreuzer, Nicole Skoetz|2020-7-31
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003146.pub4/full|Blood disorders|Blood transfusion for preventing primary and secondary stroke in people with sickle cell disease|Lise J Estcourt, Ruchika Kohli, Sally Hopewell, Marialena Trivella, Winfred C Wang|2020-7-27
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001304.pub3/full|Blood disorders|Dietary interventions for phenylketonuria|Elisabeth Jameson, Tracey Remmington|2020-7-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008946.pub3/full|Blood disorders|Interventions for mycosis fungoides|Arash Valipour, Manuel Jäger, Peggy Wu, Jochen Schmitt, Charles Bunch, Tobias Weberschock|2020-7-7
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007001.pub5/full|Blood disorders|Hematopoietic stem cell transplantation for people with sickle cell disease|Chioma Oringanje, Eneida Nemecek, Oluseyi Oniyangi|2020-7-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003149.pub4/full|Blood disorders|Preoperative blood transfusions for sickle cell disease|Lise J Estcourt, Catherine Kimber, Marialena Trivella, Carolyn Doree, Sally Hopewell|2020-7-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010985.pub4/full|Blood disorders|Interventions for treating intrahepatic cholestasis in people with sickle cell disease|Arturo J Martí-Carvajal, Cristina Elena Martí-Amarista|2020-6-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010858.pub3/full|Blood disorders|Vitamin D supplementation for sickle cell disease|Htoo Htoo Kyaw Soe, Adinegara BL Abas, Nan Nitra Than, Han Ni, Jaspal Singh, Abdul Razzak Bin Mohd Said, Ifeyinwa Osunkwo|2020-5-28
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012284.pub3/full|Blood disorders|Growth hormone therapy for people with thalassaemia|Chin Fang Ngim, Nai Ming Lai, Janet YH Hong, Shir Ley Tan, Amutha Ramadas, Premala Muthukumarasamy, Meow-Keong Thong|2020-5-28
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010822.pub4/full|Blood disorders|Gene therapy for haemophilia|Akshay Sharma, Manu Easow Mathew, Vasumathi Sriganesh, Ulrike M Reiss|2020-4-28
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012389.pub3/full|Blood disorders|Interventions for preventing silent cerebral infarcts in people with sickle cell disease|Lise J Estcourt, Catherine Kimber, Sally Hopewell, Marialena Trivella, Carolyn Doree, Miguel R Abboud|2020-4-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004198.pub4/full|Blood disorders|Treatments for priapism in boys and men with sickle cell disease|Francis I Chinegwundoh, Sherie Smith, Kofi A Anie|2020-4-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010215.pub2/full|Blood disorders|Psychological interventions for people with hemophilia|Laura Palareti, Giannino Melotti, Frederica Cassis, Sarah J Nevitt, Alfonso Iorio|2020-3-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012762.pub2/full|Blood disorders|Transcutaneous electrical nerve stimulation (TENS) for pain management in sickle cell disease|Sudipta Pal, Ruchita Dixit, Soe Moe, Myron Anthony Godinho, Adinegara BL Abas, Samir K Ballas, Shanker Ram, Uduman Ali M Yousuf|2020-3-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004863.pub6/full|Blood disorders|Early erythropoiesis‐stimulating agents in preterm or low birth weight infants|Arne Ohlsson, Sanjay M Aher|2020-2-11
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004868.pub6/full|Blood disorders|Late erythropoiesis‐stimulating agents to prevent red blood cell transfusion in preterm or low birth weight infants|Sanjay M Aher, Arne Ohlsson|2020-1-28
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007843.pub4/full|Blood disorders|Blood transfusions for treating acute chest syndrome in people with sickle cell disease|Roya Dolatkhah, Saeed Dastgiri|2020-1-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD013084.pub2/full|Blood disorders|Intravenous iron therapy for non‐anaemic, iron‐deficient adults|Lachlan F Miles, Edward Litton, Georgina Imberger, David Story|2019-12-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011633.pub3/full|Blood disorders|Treatment of dental complications in sickle cell disease|Priti Mulimani, Samir K Ballas, Adinegara BL Abas, Laxminarayan Karanth|2019-12-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004344.pub7/full|Blood disorders|Treatment for avascular necrosis of bone in people with sickle cell disease|Arturo J Martí‐Carvajal, Ivan Solà, Luis H Agreda‐Pérez|2019-12-5
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012745.pub2/full|Blood disorders|Prophylactic plasma transfusion for patients without inherited bleeding disorders or anticoagulant use undergoing non‐cardiac surgery or invasive procedures|Jonathan Huber, Simon J Stanworth, Carolyn Doree, Patricia M Fortin, Marialena Trivella, Susan J Brunskill, Sally Hopewell, Kirstin L Wilkinson, Lise J Estcourt|2019-11-28
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012187.pub2/full|Blood disorders|Pharmacological interventions for painful sickle cell vaso‐occlusive crises in adults|Tess E Cooper, Ian R Hambleton, Samir K Ballas, Brydee A Cashmore, Philip J Wiffen|2019-11-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006401.pub5/full|Blood disorders|Statins for children with familial hypercholesterolemia|Alpo Vuorio, Jaana Kuoppala, Petri T Kovanen, Steve E Humphries, Serena Tonstad, Albert Wiegman, Euridiki Drogari, Uma Ramaswami|2019-11-7
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008360.pub5/full|Blood disorders|Regular long‐term red blood cell transfusions for managing chronic chest complications in sickle cell disease|Lise J Estcourt, Sally Hopewell, Marialena Trivella, Ian R Hambleton, Gavin Cho|2019-10-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007175.pub5/full|Blood disorders|Antibiotics for treating osteomyelitis in people with sickle cell disease|Arturo J Martí-Carvajal, Luis H Agreda-Pérez|2019-10-7
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006110.pub5/full|Blood disorders|Antibiotics for treating acute chest syndrome in people with sickle cell disease|Arturo J Martí-Carvajal, Lucieni O Conterno, Jennifer M Knight-Madden|2019-9-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010517.pub3/full|Blood disorders|Splenectomy for people with thalassaemia major or intermedia|Akshay Sharma, Manu Easow Mathew, Latika Puri|2019-9-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011358.pub3/full|Blood disorders|Magnesium for treating sickle cell disease|Nan Nitra Than, Htoo Htoo Kyaw Soe, Senthil K Palaniappan, Adinegara BL Abas, Lucia De Franceschi|2019-9-9
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012736.pub2/full|Blood disorders|Larviciding to prevent malaria transmission|Leslie Choi, Silas Majambere, Anne L Wilson|2019-8-14
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012969.pub2/full|Blood disorders|Treatment of dental and orthodontic complications in thalassaemia|Priti Mulimani, Adinegara BL Abas, Laxminarayan Karanth, Raffaella Colombatti, Palna Kulkarni|2019-8-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010678.pub3/full|Blood disorders|Artemether for severe malaria|Ekpereonne B Esu, Emmanuel E Effa, Oko N Opie, Martin M Meremikwu|2019-6-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011385.pub3/full|Blood disorders|Antifibrinolytic therapy for preventing oral bleeding in patients with haemophilia or Von Willebrand disease undergoing minor oral surgery or dental extractions|Karin PM van Galen, Eveline T Engelen, Evelien P Mauser‐Bunschoten, Robert JJ van Es, Roger EG Schutgens|2019-4-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012064.pub2/full|Blood disorders|Hydroxyurea (hydroxycarbamide) for transfusion‐dependent β‐thalassaemia|Saqib H Ansari, Zohra S Lassi, Salima M Khowaja, Syed Omair Adil, Tahir S Shamsi|2019-3-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009824.pub4/full|Blood disorders|Desmopressin acetate (DDAVP) for preventing and treating acute bleeds during pregnancy in women with congenital bleeding disorders|Laxminarayan Karanth, Ankur Barua, Sachchithanantham Kanagasabai, Sreekumaran Nair N|2019-2-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009075.pub3/full|Blood disorders|Aerobic physical exercise for adult patients with haematological malignancies|Linus Knips, Nils Bergenthal, Fiona Streckmann, Ina Monsef, Thomas Elter, Nicole Skoetz|2019-1-31
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009768.pub2/full|Blood disorders|Mesenchymal stromal cells as treatment or prophylaxis for acute or chronic graft‐versus‐host disease in haematopoietic stem cell transplant (HSCT) recipients with a haematological condition|Sheila A Fisher, Antony Cutler, Carolyn Doree, Susan J Brunskill, Simon J Stanworth, Cristina Navarrete, John Girdlestone|2019-1-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012184.pub2/full|Blood disorders|Early discontinuation of antibiotics for febrile neutropenia versus continuation until neutropenia resolution in people with cancer|Anat Stern, Elena Carrara, Roni Bitterman, Dafna Yahav, Leonard Leibovici, Mical Paul|2019-1-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010649.pub2/full|Blood disorders|Pro‐coagulant haemostatic factors for the prevention and treatment of bleeding in people without haemophilia|Jez Fabes, Susan J Brunskill, Nicola Curry, Carolyn Doree, Simon J Stanworth|2018-12-24
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006975.pub4/full|Blood disorders|Vaccines for preventing invasive salmonella infections in people with sickle cell disease|Friday Odey, Uduak Okomo, Angela Oyo-Ita|2018-12-5
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011444.pub3/full|Blood disorders|Mefloquine for preventing malaria in pregnant women|Raquel González, Clara Pons‐Duran, Mireia Piqueras, John J Aponte, Feiko O ter Kuile, Clara Menéndez|2018-11-14
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD000363.pub3/full|Blood disorders|Insecticide‐treated nets for preventing malaria|Joseph Pryce, Marty Richardson, Christian Lengeler|2018-11-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003426.pub6/full|Blood disorders|Drugs for preventing red blood cell dehydration in people with sickle cell disease|Srikanth Nagalla, Samir K Ballas|2018-10-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012779.pub2/full|Blood disorders|Prophylactic platelet transfusions prior to surgery for people with a low platelet count|Lise J Estcourt, Reem Malouf, Carolyn Doree, Marialena Trivella, Sally Hopewell, Janet Birchall|2018-9-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011199.pub3/full|Blood disorders|Conjugate Haemophilus influenzae type b vaccines for sickle cell disease|Slimane Allali, Martin Chalumeau, Odile Launay, Samir K Ballas, Mariane de Montalembert|2018-8-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011960.pub2/full|Blood disorders|Effects of all‐trans retinoic acid (ATRA) in addition to chemotherapy for adults with acute myeloid leukaemia (AML) (non‐acute promyelocytic leukaemia (non‐APL))|Yasemin Küley‐Bagheri, Karl‐Anton Kreuzer, Ina Monsef, Michael Lübbert, Nicole Skoetz|2018-8-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012082.pub2/full|Blood disorders|Red blood cell transfusion to treat or prevent complications in sickle cell disease: an overview of Cochrane reviews|Patricia M Fortin, Sally Hopewell, Lise J Estcourt|2018-8-1
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011626.pub2/full|Blood disorders|Calcium channel blockers for preventing cardiomyopathy due to iron overload in people with transfusion‐dependent beta thalassaemia|Alina Sadaf, Babar Hasan, Jai K Das, Steven Colan, Najveen Alvi|2018-7-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012342.pub2/full|Blood disorders|Comparison of a therapeutic‐only versus prophylactic platelet transfusion policy for people with congenital or acquired bone marrow failure disorders|Reem Malouf, Asma Ashraf, Andreas V Hadjinicolaou, Carolyn Doree, Sally Hopewell, Lise J Estcourt|2018-5-14
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012349.pub2/full|Blood disorders|Interventions for improving adherence to iron chelation therapy in people with sickle cell disease or thalassaemia|Patricia M Fortin, Sheila A Fisher, Karen V Madgwick, Marialena Trivella, Sally Hopewell, Carolyn Doree, Lise J Estcourt|2018-5-8
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011980.pub3/full|Blood disorders|Use of platelet transfusions prior to lumbar punctures or epidural anaesthesia for the prevention of complications in people with thrombocytopenia|Lise J Estcourt, Reem Malouf, Sally Hopewell, Carolyn Doree, Joost Van Veen|2018-4-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011130.pub3/full|Blood disorders|Folate supplementation in people with sickle cell disease|Ruchita Dixit, Sowmya Nettem, Simerjit S Madan, Htoo Htoo Kyaw Soe, Adinegara BL Abas, Leah D Vance, Patrick J Stover|2018-3-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011595.pub2/full|Blood disorders|Mosquito repellents for malaria prevention|Marta F Maia, Merav Kliner, Marty Richardson, Christian Lengeler, Sarah J Moore|2018-2-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008152.pub5/full|Blood disorders|Primaquine or other 8‐aminoquinolines for reducing Plasmodium falciparum transmission|Patricia M Graves, Leslie Choi, Hellen Gelband, Paul Garner|2018-2-2
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003188.pub4/full|Blood disorders|Bisphosphonates in multiple myeloma: an updated network meta‐analysis|Rahul Mhaskar, Ambuj Kumar, Branko Miladinovic, Benjamin Djulbegovic|2017-12-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012035.pub2/full|Blood disorders|Thrombopoietin receptor agonists for prevention and treatment of chemotherapy‐induced thrombocytopenia in patients with solid tumours|Xia Zhang, Yunhai Chuai, Wei Nie, Aiming Wang, Guanghai Dai|2017-11-27
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD003425.pub4/full|Blood disorders|Splenectomy versus conservative management for acute sequestration crises in people with sickle cell disease|Shirley Owusu-Ofori, Tracey Remmington|2017-11-7
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008727.pub4/full|Blood disorders|Hypothalamic‐pituitary‐adrenal (HPA) axis suppression after treatment with glucocorticoid therapy for childhood acute lymphoblastic leukaemia|Niki Rensen, Reinoud JBJ Gemke, Elvira C van Dalen, Joost Rotteveel, Gertjan JL Kaspers|2017-11-6
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006491.pub4/full|Blood disorders|Mefloquine for preventing malaria during travel to endemic areas|Maya Tickell‐Painter, Nicola Maayan, Rachel Saunders, Cheryl Pace, David Sinclair|2017-10-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006974.pub4/full|Blood disorders|Hematopoietic stem cell transplantation for Gaucher disease|Usha Rani R Somaraju, Krishna Tadepalli|2017-10-18
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011048.pub2/full|Blood disorders|Prophylactic intravenous calcium therapy for exchange blood transfusion in the newborn|Tinuade A Ogunlesi, Foluso EA Lesi, Olabisi Oduwole|2017-10-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009883.pub2/full|Blood disorders|Thrombopoietin mimetics for patients with myelodysplastic syndromes|Helga Dodillet, Karl‐Anton Kreuzer, Ina Monsef, Nicole Skoetz|2017-9-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011441.pub2/full|Blood disorders|Bypassing agent prophylaxis in people with hemophilia A or B with inhibitors|Chatree Chai‐Adisaksopha, Sarah J Nevitt, Mindy L Simpson, Maissaa Janbain, Barbara A Konkle|2017-9-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012497.pub2/full|Blood disorders|Plasma transfusions prior to lumbar punctures and epidural catheters for people with abnormal coagulation|Lise J Estcourt, Michael J Desborough, Carolyn Doree, Sally Hopewell, Simon J Stanworth|2017-9-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008814.pub2/full|Blood disorders|Optimisation of chemotherapy and radiotherapy for untreated Hodgkin lymphoma patients with respect to second malignant neoplasms, overall and progression‐free survival: individual participant data analysis|Jeremy Franklin, Dennis A. Eichenauer, Ingrid Becker, Ina Monsef, Andreas Engert|2017-9-13
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007476.pub3/full|Blood disorders|Deferasirox for managing iron overload in people with thalassaemia|Claudia Bollig, Lisa K Schell, Gerta Rücker, Roman Allert, Edith Motschall, Charlotte M Niemeyer, Dirk Bassler, Joerg J Meerpohl|2017-8-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005406.pub5/full|Blood disorders|Fluid replacement therapy for acute episodes of pain in people with sickle cell disease|Uduak Okomo, Martin M Meremikwu|2017-7-31
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009072.pub3/full|Blood disorders|Pathogen‐reduced platelets for the prevention of bleeding|Lise J Estcourt, Reem Malouf, Sally Hopewell, Marialena Trivella, Carolyn Doree, Simon J Stanworth, Michael F Murphy|2017-7-30
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012380.pub2/full|Blood disorders|Interventions for chronic kidney disease in people with sickle cell disease|Noemi BA Roy, Patricia M Fortin, Katherine R Bull, Carolyn Doree, Marialena Trivella, Sally Hopewell, Lise J Estcourt|2017-7-3
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007941.pub3/full|Blood disorders|Comparison of first‐line chemotherapy including escalated BEACOPP versus chemotherapy including ABVD for people with early unfavourable or advanced stage Hodgkin lymphoma|Nicole Skoetz, Andrea Will, Ina Monsef, Corinne Brillant, Andreas Engert, Bastian von Tresckow|2017-5-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007110.pub3/full|Blood disorders|Chemotherapy alone versus chemotherapy plus radiotherapy for adults with early stage Hodgkin lymphoma|Oliver Blank, Bastian von Tresckow, Ina Monsef, Lena Specht, Andreas Engert, Nicole Skoetz|2017-4-27
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007557.pub3/full|Blood disorders|Unfractionated heparin versus low molecular weight heparins for avoiding heparin‐induced thrombocytopenia in postoperative patients|Daniela R Junqueira, Liliane M Zorzela, Edson Perini|2017-4-21
